source_row_1based,Model,Publication date,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Parameters,Parameters notes,Confidence,Numerical format,Training compute estimation method,Open model weights?,Reference,Link,publication_date_parsed,publication_year,date_status,included_as_of_cutoff,training_compute_numeric,training_compute_parse_status,dataset_size_numeric,dataset_size_parse_status,parameter_count_numeric,parameter_count_parse_status
1651,StyleTTS 2,2023-11-20,,,,"Acoustic modules were pre-trained for 100, 50, and 30 epochs on the LJSpeech, VCTK, and
LibriTTS datasets, and joint training followed for 60, 40, and 25 epochs, respectively.",,,Unknown,,,Yes,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,https://arxiv.org/abs/2306.07691,2023-11-20,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1652,Lyria,2023-11-16,,,,,,,Unknown,,,No,Transforming the future of music creation,https://deepmind.google/discover/blog/transforming-the-future-of-music-creation/,2023-11-16,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1653,Mistral 7B + OVM,2023-11-16,,"Fine tuning likely small fraction of pretraining. E.g. Game of 24 has 90k solution paths, if average path is 1024 tokens and they do 10 epochs that is 
6 * 90k * 1024 * 10 * 7B = 3.9e19 FLOP. 
We don't have exact flops for Mistral 7B but compare at 8.4e22 FLOP for Llama 2-7B",,"""This allows us to produce numerous OVM training samples using just question-answer pairs, without path annotations, resulting in 747,300 training samples for GSM8K and 90,000 for Game of 24.""

747300+90000=837300 training samples",7000000000.0,"7B, based on Mistral 7B",Confident,,,Yes,Outcome-supervised Verifiers for Planning in Mathematical Reasoning,https://arxiv.org/abs/2311.09724,2023-11-16,2023.0,at_or_before_cutoff,True,,missing,,missing,7000000000.0,finite_scalar
1654,AndesGPT,2023-11-16,,,,,,,Unknown,,,No,,https://www.oppo.com/en/newsroom/press/2023-oppo-developers-conference-odc23/,2023-11-16,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1655,Nemotron-3-8B,2023-11-15,1.8e+23,"https://huggingface.co/nvidia/nemotron-3-8b-base-4k

""This model was trained on a dataset containing 3.8 Trillion tokens of text""

8 billion * 3.8 trillion * 6 = 1.8e23

Also, using the hardware method: ""1,024 A100s were used for 19 days to train the model.""

19*1024 * 312 trillion * 24 * 3600 * 0.3 = 1.57e23",3800000000000,,8000000000.0,,Confident,,"Operation counting,Hardware",Yes,NVIDIA AI Foundation Models: Build Custom Enterprise Chatbots and Co-Pilots with Production-Ready LLMs,"https://developer.nvidia.com/blog/nvidia-ai-foundation-models-build-custom-enterprise-chatbots-and-co-pilots-with-production-ready-llms/

https://catalog.ngc.nvidia.com/orgs/nvidia/teams/nemo/models/nemotron-3-8b-base-4k",2023-11-15,2023.0,at_or_before_cutoff,True,1.8e+23,finite_scalar,3800000000000.0,finite_scalar,8000000000.0,finite_scalar
1656,Mi:dm 7B,2023-11-15,,,,,7000000000.0,7B,Confident,,,Yes,"Mi:dm: KT Bilingual (Korean,English) Generative Pre-trained Transformer",https://huggingface.co/KT-AI/midm-bitext-S-7B-inst-v1,2023-11-15,2023.0,at_or_before_cutoff,True,,missing,,missing,7000000000.0,finite_scalar
1657,GraphCast,2023-11-14,2.1000000000000002e+22,"""Training GraphCast took roughly four weeks on 32 Cloud TPU v4 devices using batch parallelism.""

4.6: ""we use bfloat16 floating point precision""

2.1e22 = 2.75E+14 FLOP/s * 32 * 60* 60 * 24 * 7 * 4",,,,Not mentioned in paper.,Speculative,BF16,Hardware,Yes,Learning skillful medium-range globalweather forecasting,"https://www.science.org/doi/epdf/10.1126/science.adi2336

https://arxiv.org/abs/2212.12794",2023-11-14,2023.0,at_or_before_cutoff,True,2.1000000000000002e+22,finite_scalar,,missing,,missing
1658,Qwen-Audio-Chat,2023-11-14,,,,not clear,8460000000.0,"the model has two components - audio and language.
670M + 7.7B = 8.46B
""The audio encoder is composed of 640M parameters""

""Qwen-Audio incorporates a large language model as its foundational component.
The model is initialized using pre-trained weights derived from Qwen-7B (Bai et al., 2023a). Qwen-7B is a 32-layer Transformer decoder model with a hidden size of 4096, encompassing a total of 7.7B parameters.""",Likely,BF16,,Yes,Qwen-Audio: Advancing Universal Audio Understanding via Unified Large-Scale Audio-Language Models,https://arxiv.org/abs/2311.07919,2023-11-14,2023.0,at_or_before_cutoff,True,,missing,,missing,8460000000.0,finite_scalar
1659,SPHINX (Llama 2 13B),2023-11-13,3.04e+22,"""The pre-training time is around 125 hours on 32 A100 GPUs with a 7B
language model and about twice the time with a 13B language model... The fine-tuning takes about 38 hours with 16 A100 GPUs with a 13B
language model.""

((125*2 * 32) + (38 * 16)) * 3.12e14 * 3600 * 0.3 = 2.9e21

Component vision encoders were initialized from pre-trained:
- CLIP ViT: 1.5e22 FLOPs for L/14@336
- ConvNeXt V2: 6.8e21 FLOPs for largest
- DinoV2: 7.42e+21 FLOPs for largest
- Q-former: 1.2e21 FLOPs for largest

(Based on full parameter count, SPHINX probably uses largest models)

Sum: 3.04e22 FLOPs",,""" For the joint training on both images and texts, we form each
batch with 640 image-text pairs from LAION-400M or LAION-COCO and 65, 536 text tokens from RefinedWeb""

As per Figure 7 there was 20000 training steps",19900000000.0,"SPHINX + Llama 2 13B
SPHINX component involves four vision encoders:
- CLIP - ViT
- CLIP - ConvNeXt V2 (89M to 659M params, depending on size)
- DinoV2 - ViT (22M to 1.14B params, depending on size)
- Q-former (188M params)
Also involves to projection networks

Huggingface Hub model files appear to be 39.8GB. Assuming models are stored in fp16 there are 2 bytes per parameter, so 39.8 / 2 = 19.9B parameters.",Likely,BF16,Hardware,Yes,"SPHINX: The Joint Mixing of Weights, Tasks, and Visual Embeddings for Multi-modal Large Language Models",https://arxiv.org/abs/2311.07575,2023-11-13,2023.0,at_or_before_cutoff,True,3.04e+22,finite_scalar,,missing,19900000000.0,finite_scalar
1660,Volcano 13B,2023-11-13,4.56e+22,"Base model is LLaVa-1.5 13B, which used 4.55e22 FLOP (mostly coming from Llama base)

""For this research, we used an NVIDIA A100-SXM4-80GB GPU and an AMD EPYC 7513 32-Core Processor running at 2.0778 GHz. Training
VOLCANO 7B required 8 GPUs and took a total of 15 hours, while training VOLCANO 13B took 30 hours.""
3.12e14 * 8 * 30 * 3600 * 0.3 = 8.1e19 finetune compute",,"https://huggingface.co/datasets/kaist-ai/volcano-train

558k image-text pairs, rest of dataset is ~1M examples of text data; length per sequence is not clear",13000000000.0,13B,Likely,FP16,Hardware,Yes,Volcano: Mitigating Multimodal Hallucination through Self-Feedback Guided Revision,https://arxiv.org/abs/2311.07362,2023-11-13,2023.0,at_or_before_cutoff,True,4.56e+22,finite_scalar,,missing,13000000000.0,finite_scalar
1661,LLaVA + LVIS-INSTRUCT4V,2023-11-13,,,,"""To the end, we use 110K images from LVIS and generate 220K high-quality visual instructions"" provided examples are roughly 30-60 words each",13000000000.0,,Likely,,,Yes,To See is to Believe: Prompting GPT-4V for Better Visual Instruction Tuning,https://arxiv.org/abs/2311.07574,2023-11-13,2023.0,at_or_before_cutoff,True,,missing,,missing,13000000000.0,finite_scalar
1662,Intel Aurora 1T,2023-11-13,,,,,1000000000000.0,1T,Confident,,,No,"Intel SC23 Update: 1-Trillion Parameter AI Model Running on Aurora Supercomputer, Granite Rapids Benchmarks","https://www.tomshardware.com/news/intel-supercomputing-2023-aurora-xeon-max-gpu-gaudi-granite-rapids

https://newsroom.intel.com/artificial-intelligence/intel-supercomputing-2023-news",2023-11-13,2023.0,at_or_before_cutoff,True,,missing,,missing,1000000000000.0,finite_scalar
1663,Stable Diffusion 1.6,2023-11-10,,,,,,,Unknown,,,No,Stable Diffusion v1.6 Release,https://platform.stability.ai/docs/release-notes,2023-11-10,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1664,tts-1,2023-11-09,,,,,,,Unknown,,,No,Text-to-speech model optimized for speed,https://platform.openai.com/docs/models/tts-1,2023-11-09,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1665,tts-1-hd,2023-11-09,,,,,,,Unknown,,,No,Text-to-speech model optimized for quality,https://platform.openai.com/docs/models/tts-1-hd,2023-11-09,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1666,MultiBand Diffusion,2023-11-08,2.6e+19,"""It takes around 2 days on 4 Nvidia V100 with 16 GB to train one of the 4 models.""

125 tflop/s for V100 SXM (not clear which they used, could be PCI given small number - still same OOM thus confident)
4 * 125 trillion * 2 * 24 * 3600 * 0.3 = 2.6e19",,9096+2425+919+108+4989=17537 hours,,,Confident,,Hardware,Yes,From Discrete Tokens to High-Fidelity Audio Using Multi-Band Diffusion,https://arxiv.org/abs/2308.02560,2023-11-08,2023.0,at_or_before_cutoff,True,2.6e+19,finite_scalar,,missing,,missing
1667,Samsung Gauss Language,2023-11-08,,,,,,,Unknown,,,,,https://techcrunch.com/2023/11/08/samsung-unveils-chatgpt-alternative-samsung-gauss-that-can-generate-text-code-and-images/,2023-11-08,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1668,Samsung Gauss Code,2023-11-08,,,,,,,Unknown,,,,,https://techcrunch.com/2023/11/08/samsung-unveils-chatgpt-alternative-samsung-gauss-that-can-generate-text-code-and-images/,2023-11-08,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1669,Samsung Gauss Image,2023-11-08,,,,,,,Unknown,,,,,https://techcrunch.com/2023/11/08/samsung-unveils-chatgpt-alternative-samsung-gauss-that-can-generate-text-code-and-images/,2023-11-08,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1670,Prithvi-100M,2023-11-08,2.299133952e+21,"compute hardware: 
0.3*311.84 (peak TFLOPS)*384 (s per epoch)*64 (GPUs)*1000 (epochs) *(10^12) = 2299133952000000000000 = 2.299133952×10^21",,"

",100000000.0,,Speculative,,Hardware,Yes,Foundation Models for Generalist Geospatial Artificial Intelligence,https://arxiv.org/abs/2310.18660,2023-11-08,2023.0,at_or_before_cutoff,True,2.299133952e+21,finite_scalar,,missing,100000000.0,finite_scalar
1671,HGRN 1B (WT 103),2023-11-08,1.96608e+19,6ND = 6* 3 276 800 000 *10^9 = 1.96608e+19,100000000000,"Sequence length 512 
Total batch size 128
50k updates

512*128*50000 = 3 276 800 000",1000000000.0,1B (table 4 and hugging  face repo),Confident,,Operation counting,Yes,Hierarchically Gated Recurrent Neural Network for Sequence Modeling,https://arxiv.org/abs/2311.04823,2023-11-08,2023.0,at_or_before_cutoff,True,1.96608e+19,finite_scalar,100000000000.0,finite_scalar,1000000000.0,finite_scalar
1672,Jais-30b (phase 1)																												 ,2023-11-08,1.0372049e+23,"6 FLOP / token / parameter * 30 * 10^9 parameters * 427 * 10^9 tokens [ see dataset size notes] = 7.686e+22 FLOP

7500000000000000 FLOP / chip / sec * 16 chips *  1080 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.39968e+23 FLOP

sqrt(7.686e+22*1.39968e+23) = 1.0372049e+23 FLOP",427000000000,"""126 billion Arabic tokens, 251 billion English tokens, and 50 billion code tokens"" 

total: 427 billion tokens

Batch size	2640
Steps	79k",30000000000.0,"30B

""The backbone of Jais-30B is a causal decoder-only large language model. It is engineered with 48 transformer blocks, 56 attention heads, and an embedding dimension of 7168. """,Confident,FP32,"Operation counting,Hardware",Yes,Jais-30B: Expanding the Horizon in Open-Source Arabic NLP,https://www.g42.ai/resources/publications/Jais-30B,2023-11-08,2023.0,at_or_before_cutoff,True,1.0372049e+23,finite_scalar,427000000000.0,finite_scalar,30000000000.0,finite_scalar
1673,RoFormer,2023-11-08,2.162688e+18,6 FLOP/parameter/token * 110000000 parameters * 3276800000 tokens = 2162688000000000000 FLOP,3276800000,,110000000.0,"""we use bert-base"" 
BERT base has 110M parameters from https://arxiv.org/pdf/1810.04805",Confident,,Operation counting,No,RoFormer: Enhanced Transformer with Rotary Position Embedding,https://arxiv.org/abs/2104.09864,2023-11-08,2023.0,at_or_before_cutoff,True,2.162688e+18,finite_scalar,3276800000.0,finite_scalar,110000000.0,finite_scalar
1674,OmniVec,2023-11-07,,,,,,,Unknown,,,No,OmniVec: Learning robust representations with cross modal sharing,https://arxiv.org/abs/2311.05709v1,2023-11-07,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1675,mPLUG-Owl2,2023-11-07,,"ViT-L/14 and Llama 2-7b compute, plus 1.7e19 joint pretrain FLOP (6 * 400M * 7.1B) and 4e16 joint finetune FLOP. Everything is a negligible fraction except the Llama 2 compute.",182032793600,"400 million image-text pairs at pre-training + 672k image-text pairs at instruction tuning (table 14) = 400672000 images

+ 558k text instructions (table 14) ",7120000000.0,"""As depicted in Figure 2, our model, referred to as mPLUGOwl2, is composed of three main components: a fundamental vision encoder, a visual abstractor, and a language decoder. Specifically, we utilize ViT-L/14 as the
vision encoder and LLaMA-2-7B [58] as the language decoder""
ViT-L/14 has 123M parameters and Llama 2 7B has 7B parameters.",Speculative,BF16,Operation counting,Yes,mPLUG-Owl2: Revolutionizing Multi-modal Large Language Model with Modality Collaboration,https://arxiv.org/abs/2311.04257,2023-11-07,2023.0,at_or_before_cutoff,True,,missing,182032793600.0,finite_scalar,7120000000.0,finite_scalar
1676,OtterHD-8B,2023-11-07,,,200540000,"""We compiled a total of 370K instruction/response pairs sourced from the follow-
ing public datasets: LLaVA-Instruct [ 30], VQAv2 [2], GQA [ 23 ], OKVQA [ 36 ], OCRVQA [38 ],
A-OKVQA [ 45], COCO-GOI [33 ], COCO-Caption [ 10], TextQA [ 48], RefCOCO [58], COCO-ITM [ 28 ], ImageNet [17 ], and LLaVA-RLHF [ 51 ].""",8000000000.0,8B,Confident,,,,OtterHD: A High-Resolution Multi-modality Model,https://arxiv.org/abs/2311.04219,2023-11-07,2023.0,at_or_before_cutoff,True,,missing,200540000.0,finite_scalar,8000000000.0,finite_scalar
1677,XVERSE-13B-2,2023-11-06,,"Not enough info, eg number of epochs",3200000000000,"Multilingual, 3.2 trillion tokens. Note that model was originally stated to have been trained on 1.4T tokens, so while the wording suggests a dataset of 3.2T unique tokens, it may actually be referencing the number of tokens seen by the model (i.e. possibly over multiple epochs).",13000000000.0,13B,Likely,,,Yes,,https://huggingface.co/xverse/XVERSE-13B,2023-11-06,2023.0,at_or_before_cutoff,True,,missing,3200000000000.0,finite_scalar,13000000000.0,finite_scalar
1678,Whisper v3,2023-11-06,2.7e+23,"Could derive this in terms of Whisper v1, which according to the paper was trained for 680k hours for between 2-3 epochs. Whisper v3 was trained on 5 million hours for 2 epochs, or ~5-7x as much data, and has the same architecture. We have an estimate of 4.65e22 for Whisper 1.

Assume Whisper v1 was trained on 2.5 epochs, or 2.5*680k = 1.7M hours. Whisper v3 was trained on 10M hours. 10/1.7 * 4.65e22 ~= 2.7e23",80000000000,"English audio is roughly 228 wpm: https://docs.google.com/document/d/1G3vvQkn4x_W71MKg0GmHVtzfd9m0y3_Ofcoew0v902Q/edit#heading=h.sxcem9l5k3ce

The dataset is multilingual and other languages seem to have lower wpms. So using 200 wpm, we have

200*60*5 million hours = 60,000,000,000 (60B) words",1550000000.0,,Likely,,Comparison with other models,Yes,,https://huggingface.co/openai/whisper-large-v3,2023-11-06,2023.0,at_or_before_cutoff,True,2.7e+23,finite_scalar,80000000000.0,finite_scalar,1550000000.0,finite_scalar
1679,Consistency Decoder,2023-11-06,,,,,,"The architecture is described in the DALL-E 3 paper, which is linked to from the GitHub page.

""For DALL-E 3, we trained our own diffusion decoder on top of the latent space learned by the VAE trained
by Rombach et al. (2022). We found that using a diffusion decoder here provided marked improvements to
fine image details, for example text or human faces.
This diffusion decoder is a convolutional U-Net identical to the one described in Ho et al. (2020). Once
trained, we used the consistency distillation process described in Song et al. (2023) to bring it down to two
denoising steps.""

The models in Ho et al are 35.7 million to 256 million. Not sure what the parameter count for this one is.  ",Unknown,,,Yes,,https://github.com/openai/consistencydecoder,2023-11-06,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1680,GPT-4 Turbo (Nov 2023),2023-11-06,,Training compute estimated to be 2.2e25 FLOP using benchmark imputation. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,,,,Not known. Maybe smaller/sparser than GPT-4.,Unknown,,Benchmarks,No,New models and developer products announced at DevDay,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,2023-11-06,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1681,CogVLM-17B,2023-11-06,6.331e+22,"from table 8 on page 17

230.1 FLOPS*days 
so 
10**15*24*3600*230.1= 1.988e22

Since this training uses pretrained weights from EVA02-CLIP-E and Vicuna1.5-7B, we report the full number of FLOPs baked into the model.

EVA02-CLIP-g/14 is stated to have taken 25 days to train 12B samples using 64 A100-40GB GPUs, implying: 
25 days * 24 hr/day * 3600 sec/hr * 64 GPU * 7.80E+13 FLOP/GPU-sec * 30% efficiency = 3.23e21

EVA02-CLIP-E doesn't give a training time; it saw 1/4 as many samples as the g/14 model but has 4.27x more parameters; as a rough estimate, assume it took the same number of FLOPs to train.

Vicuna1.5-7B's training compute is ~entirely embedded in the base Llama-7b weights, which took 4.02e+22 FLOPs

Total: 1.988e22 + 3.23e21 + 4.02e22 = 6.331E22",,"After filtering, about 1.5B image-text pairs are left for pretraining in stage one. Stage two of pretraining adds a visual grounding dataset of 40M images with generated noun bounding boxes. These are filtered from LAION-115M so that 75% of images contain at least two bounding boxes.

Two different kinds of finetuning are done, each using a number of datasets:
- CogVLM-Chat: VQAv2 (11059040), OKVQA (70275), TextVQA (453360), OCRVQA (1002146), ScienceQA (21208), LLaVAInstruct (150000), LRV-Instruction (300000), LLaVAR (1633000)
- CogVLM-Grounding: Flickr30K Entities (520000), RefCOCO (142209), Visual7W (889388), VisualGenome (1700000)

Additional experiments finetune using the training sets from COCO (413915 in train) and TextCaps (109765 in train)

In sum, pretraining and finetuning appear to contain 1,500,000,000 and 18,534,581 datapoints, respectively.",17000000000.0,"CogVLM-17B has 10 billion vision parameters and 7 billion language parameters. However, ""the total number of trainable parameters is 6.5B"".

""CogVLM model comprises four fundamental components: a vision transformer (ViT) encoder, an MLP adapter, a pretrained large language model (GPT), and a visual expert module.""

ViT: EVA2-CLIP-E, last layer removed (5B params with last layer, non-trainable)
MLP adapter: 2 layers, parameter count unavailable
GPT: Vicuna1.5-7B (7B params)
Visual expert module: parameter count unclear",Confident,BF16,Reported,Yes,CogVLM: Visual Expert for Pretrained Language Models,"https://arxiv.org/abs/2311.03079
https://huggingface.co/THUDM/cogvlm-chat-hf
https://github.com/THUDM/CogVLM
",2023-11-06,2023.0,at_or_before_cutoff,True,6.331e+22,finite_scalar,,missing,17000000000.0,finite_scalar
1682,RNA-MSM,2023-11-06,,8 V100 32Gbs at FP32,,"3932 (families) × 512 (sequences per family) × 32 (tokens per sequence) = 64,421,888 unique tokens

Total: 6.4e7 tokens",,10 blocks in the MSA transformer,Confident,,,Yes,Multiple sequence alignment-based RNA language model and its application to structural inference,https://academic.oup.com/nar/article/52/1/e3/7369930,2023-11-06,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1683,LLaVA 1.5,2023-11-05,7.807e+22,"""Due to the increased image input resolution to 336^2, the training of LLaVA-1.5 is ∼2× as long as LLaVA: ∼6 hours of pretraining and ∼20 hours of visual instruction tuning using 8× A100s.""
26 * 3600 * 8 * 3.12e14 * 0.3 = 7.0e19

Fine-tuned from Vicuna-13B (itself finetuned from LLaMa-13B), which used 7.8e22 FLOPs

7.0e19 + 7.8e22",,1.2M text-image pairs from https://huggingface.co/liuhaotian/llava-v1.5-13b#training-dataset,13000000000.0,"from abstract ""Our final 13B checkpoint uses merely 1.2M publicly available data, and finishes full training in ~1 day on a single 8-A100 node. """,Confident,BF16,Hardware,Yes,Improved Baselines with Visual Instruction Tuning,"https://arxiv.org/abs/2310.03744,
",2023-11-05,2023.0,at_or_before_cutoff,True,7.807e+22,finite_scalar,,missing,13000000000.0,finite_scalar
1684,Grok-1,2023-11-04,2.90000000001e+24,"""On these benchmarks, Grok-1 displayed strong results, surpassing all other models in its compute class, including ChatGPT-3.5 and Inflection-1. It is only surpassed by models that were trained with a significantly larger amount of training data and compute resources like GPT-4""

Per table, Grok-1 is surpassed by Palm 2, Claude 2, GPT-4, so it required less compute than these three models. Palm 2 was trained on 7e24 FLOP.

GPT-3.5 is ~2.6e24. Inflection-1's compute is not public/known by us but Inflection says Inflection-1 compute was <= Palm-540B's (which was ~2.5e24). 

For optimal training, our current working hypothesis is that you still need something like Chinchilla scaling on the total number of parameters in the model, even for MoE models, so optimal dataset size would be 20*310B tokens. With 25%*314B params active per forward pass, this would be around 3e24 FLOP.
https://www.wolframalpha.com/input?i=20*310+billion+*+6+*+25%25+*+314+billion",6200000000000,"(Speculative confidence, see compute notes)",314000000000.0,"""314B parameter Mixture-of-Experts model with 25% of the weights active on a given token"". So effectively 78B parameters

Mixture of 8 experts: https://github.com/xai-org/grok-1",Likely,,Benchmarks,Yes,Announcing Grok,"https://x.ai/model-card/, https://x.ai/blog/grok-os",2023-11-04,2023.0,at_or_before_cutoff,True,2.90000000001e+24,finite_scalar,6200000000000.0,finite_scalar,314000000000.0,finite_scalar
1685,Grok-0,2023-11-04,,"Half of Llama 2-70B? (which we estimated at 8e23) ""This early model approaches LLaMA 2 (70B) capabilities on standard LM benchmarks but uses only half of its training resources""",,no information about the dataset found except for this speculation https://docs.google.com/spreadsheets/d/1O5KVQW1Hx5ZAkcg8AIRjbQLQzx2wVaLl0SqUu-ir9Fs/edit?gid=1158069878#gid=1158069878,33000000000.0,33 billion,Likely,,,No,Announcing Grok,https://x.ai/,2023-11-04,2023.0,at_or_before_cutoff,True,,missing,,missing,33000000000.0,finite_scalar
1686,Qiyuan,2023-11-04,,,,,,,Unknown,,,,"360 奇元大模型正式上线
",https://www.sohu.com/a/733914132_104036,2023-11-04,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1687,Sequence Monkey (序列猴子),2023-11-04,,,,,,,Unknown,,,,,https://zhuanlan.zhihu.com/p/665027266,2023-11-04,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1688,ZhihaiTu AI (知海图),2023-11-04,,,,,,"reportedly ""hundreds of billions"", previously listed as 100 billion
https://news.aibase.com/news/2830
https://m.mp.oeeee.com/a/BAAFRD000020240321923391.html",Unknown,,,,,"https://news.qq.com/rain/a/20230413A080TY00
https://www.qbitai.com/2023/04/46542.html",2023-11-04,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1689,BLUUMI,2023-11-03,,,38000000000,"38B tokens
""In total, the final pretraining dataset (including oversampling) consists of 38 billion tokens when processed with our Finnish tokenizer.""",176000000000.0,176 billion,Likely,,,Yes,FinGPT: Large Generative Models for a Small Language,https://arxiv.org/abs/2311.05640,2023-11-03,2023.0,at_or_before_cutoff,True,,missing,38000000000.0,finite_scalar,176000000000.0,finite_scalar
1690,RT-Trajectory,2023-11-03,,"Given the architecture seems to use 35M parameters, it seems unlikely this is above 1e23 FLOP.",,,,seems to be based on the RT-1 architecture (35M parameters) with some modifications (section 3.3),Unknown,,,No,RT-Trajectory: Robotic Task Generalization via Hindsight Trajectory Sketches,https://arxiv.org/abs/2311.01977,2023-11-03,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1691,Yi-34B,2023-11-02,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",3100000000000,"""language models pretrained from scratch on 3.1T highly-engineered large amount of data, and finetuned on a small but meticulously polished alignment data.""",34000000000.0,34b,Confident,FP16,Operation counting,Yes,Yi: Open Foundation Models by 01.AI,https://arxiv.org/abs/2403.04652,2023-11-02,2023.0,at_or_before_cutoff,True,6.1e+23,finite_scalar,3100000000000.0,finite_scalar,34000000000.0,finite_scalar
1692,Cohere Embed,2023-11-02,,"https://docs.cohere.com/docs/environmental-impact

Embed v2 (older version) produced 6689.76 kg CO2 to train. Using the calculator Cohere links (https://mlco2.github.io/impact/) that's the equivalent of 80,000 TPUv3-hours in the ""us-west1"" region. That's 3.5e22 FLOP without considering utilization. However, I have no idea which region Cohere's GPUs are in (looks like CO2/energy can vary a lot by region), and they probably used a more recent GPU.",,"""First, they have been trained on questions and answers from a large web crawl. When we presented our multilingual-v2.0 model last year, we had a collection of over 1.4 billion question-and-answer pairs from 100+ languages on basically every topic on the internet.""

""Hence, the second stage involved measuring content quality. We used over 3 million search queries from search engines and retrieved the top-10 most similar documents for each query.""",,,Unknown,,,No,Cohere Command & Embed on Amazon Bedrock,https://txt.cohere.com/introducing-embed-v3/,2023-11-02,2023.0,at_or_before_cutoff,True,,missing,,missing,,missing
1693,DeepSA,2023-11-02,1e+19,"1. Hardware setup: 1x NVIDIA GeForce RTX 3090 (1.60 × 10¹⁴ FLOP/s)

2. Training duration: Estimated based on dataset size and batch processing
   - 71,861,060 total samples (3,593,053 samples × 20 epochs)
   - 561,719 batches (batch size 128)
   - ~15.6 hours (56,172 seconds)

3. Utilization rate: 40%

4. Final calculation:
   1.60 × 10¹⁴ FLOP/s × 1 GPU × 5.6 × 10⁴ s × 0.4 = 3.6 × 10¹⁸ FLOPs
   (Rounded to 1.0 × 10¹⁹ FLOPs)",,,,can possibly be calculated from architecture description,Speculative,,Hardware,No,DeepSA: a deep-learning driven predictor of compound synthesis accessibility,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00771-3,2023-11-02,2023.0,at_or_before_cutoff,True,1e+19,finite_scalar,,missing,,missing
1694,BlueLM 70B,2023-11-02,4.2e+23,6ND = 6*70B*1000B=4.2e+23,,"1000B Text data
10B Image data
100M video data
100M Knowledge graph

(from the conference handout)",70000000000.0,,Confident,,Operation counting,No,,https://baijiahao.baidu.com/s?id=1781445143383237948&wfr=spider&for=pc,2023-11-02,2023.0,at_or_before_cutoff,True,4.2e+23,finite_scalar,,missing,70000000000.0,finite_scalar
1695,BlueLM 130B,2023-11-02,7.8e+23,6ND = 6*130B*1000B=7.8e+23,,"1000B Text data
10B Image data
100M video data
100M Knowledge graph

(from the conference handout)",130000000000.0,,Confident,,Operation counting,No,,https://baijiahao.baidu.com/s?id=1781445143383237948&wfr=spider&for=pc,2023-11-02,2023.0,at_or_before_cutoff,True,7.8e+23,finite_scalar,,missing,130000000000.0,finite_scalar
1696,BlueLM 175B,2023-11-02,1.05e+24,6ND = 6*175B*1000B=1.05e+24,,"1000B Text data
10B Image data
100M video data
100M Knowledge graph

(from the conference handout)",175000000000.0,,Confident,,Operation counting,No,,https://baijiahao.baidu.com/s?id=1781445143383237948&wfr=spider&for=pc,2023-11-02,2023.0,at_or_before_cutoff,True,1.05e+24,finite_scalar,,missing,175000000000.0,finite_scalar
1697,Yi 6B,2023-11-02,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,,"""language models pretrained from scratch on 3.1T highly-engineered large amount of
data, and finetuned on a small but meticulously polished alignment data.""",6000000000.0,6B,Confident,,Operation counting,Yes,Yi: Open Foundation Models by 01.AI,https://arxiv.org/abs/2403.04652,2023-11-02,2023.0,at_or_before_cutoff,True,1.26e+23,finite_scalar,,missing,6000000000.0,finite_scalar
1698,Nanbeige-16B,2023-11-01,2.4e+23,"""It uses 2.5T Tokens for pre-training"". I think that's the number of tokens the model was trained on, not the dataset size, but I'm not sure.

16 billion * 2.5 trillion * 6 = 2.4e23",2500000000000,"""It uses 2.5T Tokens for pre-training""",16000000000.0,16 billion,Likely,,Operation counting,Yes,,https://github.com/Nanbeige/Nanbeige/blob/main/README_EN.md,2023-11-01,2023.0,at_or_before_cutoff,True,2.4e+23,finite_scalar,2500000000000.0,finite_scalar,16000000000.0,finite_scalar
